d,k,c,cycle,length,min_val,max_val
2,2,6,"[3, 12, 6]",3,3,12
2,3,3,"[3, 12, 6]",3,3,12
2,3,5,"[187, 566, 283, 854, 427, 1286, 643, 1934, 967, 2906, 1453, 4364, 2182, 1091, 3278, 1639, 4922, 2461, 7388, 3694, 1847, 5546, 2773, 8324, 4162, 2081, 6248, 3124, 1562, 781, 2348, 1174, 587, 1766, 883, 2654, 1327, 3986, 1993, 5984, 2992, 1496, 748, 374]",44,187,8324
2,3,5,"[347, 1046, 523, 1574, 787, 2366, 1183, 3554, 1777, 5336, 2668, 1334, 667, 2006, 1003, 3014, 1507, 4526, 2263, 6794, 3397, 10196, 5098, 2549, 7652, 3826, 1913, 5744, 2872, 1436, 718, 359, 1082, 541, 1628, 814, 407, 1226, 613, 1844, 922, 461, 1388, 694]",44,347,10196
2,3,5,"[23, 74, 37, 116, 58, 29, 92, 46]",8,23,116
2,3,5,"[19, 62, 31, 98, 49, 152, 76, 38]",8,19,152
2,3,5,"[5, 20, 10]",3,5,20
2,3,7,"[7, 28, 14]",3,7,28
2,3,7,"[5, 22, 11, 40, 20, 10]",6,5,40
2,3,9,"[9, 36, 18]",3,9,36
2,5,1,"[17, 86, 43, 216, 108, 54, 27, 136, 68, 34]",10,17,216
2,5,1,"[13, 66, 33, 166, 83, 416, 208, 104, 52, 26]",10,13,416
2,5,3,"[43, 218, 109, 548, 274, 137, 688, 344, 172, 86]",10,43,688
2,5,3,"[39, 198, 99, 498, 249, 1248, 624, 312, 156, 78]",10,39,1248
2,5,3,"[3, 18, 9, 48, 24, 12, 6]",7,3,48
2,5,3,"[53, 268, 134, 67, 338, 169, 848, 424, 212, 106]",10,53,848
2,5,3,"[61, 308, 154, 77, 388, 194, 97, 488, 244, 122]",10,61,488
2,5,5,"[85, 430, 215, 1080, 540, 270, 135, 680, 340, 170]",10,85,1080
2,5,5,"[65, 330, 165, 830, 415, 2080, 1040, 520, 260, 130]",10,65,2080
2,5,5,"[5, 30, 15, 80, 40, 20, 10]",7,5,80
2,5,7,"[7, 42, 21, 112, 56, 28, 14]",7,7,112
2,5,7,"[91, 462, 231, 1162, 581, 2912, 1456, 728, 364, 182]",10,91,2912
2,5,7,"[119, 602, 301, 1512, 756, 378, 189, 952, 476, 238]",10,119,1512
2,5,7,"[57, 292, 146, 73, 372, 186, 93, 472, 236, 118, 59, 302, 151, 762, 381, 1912, 956, 478, 239, 1202, 601, 3012, 1506, 753, 3772, 1886, 943, 4722, 2361, 11812, 5906, 2953, 14772, 7386, 3693, 18472, 9236, 4618, 2309, 11552, 5776, 2888, 1444, 722, 361, 1812, 906, 453, 2272, 1136, 568, 284, 142, 71, 362, 181, 912, 456, 228, 114]",60,57,18472
2,5,9,"[3, 24, 12, 6]",4,3,24
2,5,9,"[89, 454, 227, 1144, 572, 286, 143, 724, 362, 181, 914, 457, 2294, 1147, 5744, 2872, 1436, 718, 359, 1804, 902, 451, 2264, 1132, 566, 283, 1424, 712, 356, 178]",30,89,5744
2,5,9,"[117, 594, 297, 1494, 747, 3744, 1872, 936, 468, 234]",10,117,3744
2,5,9,"[29, 154, 77, 394, 197, 994, 497, 2494, 1247, 6244, 3122, 1561, 7814, 3907, 19544, 9772, 4886, 2443, 12224, 6112, 3056, 1528, 764, 382, 191, 964, 482, 241, 1214, 607, 3044, 1522, 761, 3814, 1907, 9544, 4772, 2386, 1193, 5974, 2987, 14944, 7472, 3736, 1868, 934, 467, 2344, 1172, 586, 293, 1474, 737, 3694, 1847, 9244, 4622, 2311, 11564, 5782, 2891, 14464, 7232, 3616, 1808, 904, 452, 226, 113, 574, 287, 1444, 722, 361, 1814, 907, 4544, 2272, 1136, 568, 284, 142, 71, 364, 182, 91, 464, 232, 116, 58]",90,29,19544
2,5,9,"[9, 54, 27, 144, 72, 36, 18]",7,9,144
2,5,9,"[183, 924, 462, 231, 1164, 582, 291, 1464, 732, 366]",10,183,1464
2,5,9,"[159, 804, 402, 201, 1014, 507, 2544, 1272, 636, 318]",10,159,2544
2,5,9,"[129, 654, 327, 1644, 822, 411, 2064, 1032, 516, 258]",10,129,2064
2,6,6,"[3, 24, 12, 6]",4,3,24
2,7,5,"[27, 194, 97, 684, 342, 171, 1202, 601, 4212, 2106, 1053, 7376, 3688, 1844, 922, 461, 3232, 1616, 808, 404, 202, 101, 712, 356, 178, 89, 628, 314, 157, 1104, 552, 276, 138, 69, 488, 244, 122, 61, 432, 216, 108, 54]",42,27,7376
2,7,5,"[5, 40, 20, 10]",4,5,40
2,7,5,"[3, 26, 13, 96, 48, 24, 12, 6]",8,3,96
2,7,7,"[7, 56, 28, 14]",4,7,56
2,7,9,"[9, 72, 36, 18]",4,9,72
