path_id,step,r,v
0,0,40479,0
0,1,55902,1
0,2,27951,0
0,3,18318,1
0,4,9159,0
0,5,27478,1
0,6,13739,0
0,7,41218,1
0,8,20609,0
0,9,61828,2
0,10,30914,1
0,11,15457,0
0,12,46372,2
0,13,23186,1
0,14,11593,0
0,15,34780,2
0,16,17390,1
0,17,8695,0
0,18,26086,1
0,19,13043,0
0,20,39130,1
0,21,19565,0
0,22,58696,3
0,23,29348,2
0,24,14674,1
0,25,7337,0
0,26,22012,2
0,27,11006,1
0,28,5503,0
0,29,16510,1
0,30,8255,0
0,31,24766,1
0,32,12383,0
0,33,37150,1
0,34,18575,0
0,35,55726,1
0,36,27863,0
0,37,18054,1
0,38,9027,0
0,39,27082,1
0,40,13541,0
0,41,40624,3
0,42,20312,3
0,43,10156,2
0,44,5078,1
0,45,2539,0
0,46,7618,1
0,47,3809,0
0,48,11428,2
0,49,5714,1
0,50,2857,0
0,51,8572,2
0,52,4286,1
0,53,2143,0
0,54,6430,1
0,55,3215,0
0,56,9646,1
0,57,4823,0
0,58,14470,1
0,59,7235,0
0,60,21706,1
0,61,10853,0
0,62,32560,3
0,63,16280,3
0,64,8140,2
0,65,4070,1
0,66,2035,0
0,67,6106,1
0,68,3053,0
0,69,9160,3
0,70,4580,2
0,71,2290,1
0,72,1145,0
0,73,3436,2
0,74,1718,1
0,75,859,0
0,76,2578,1
0,77,1289,0
0,78,3868,2
0,79,1934,1
0,80,967,0
0,81,2902,1
0,82,1451,0
0,83,4354,1
0,84,2177,0
0,85,6532,2
0,86,3266,1
0,87,1633,0
0,88,4900,2
0,89,2450,1
0,90,1225,0
0,91,3676,2
0,92,1838,1
0,93,919,0
0,94,2758,1
0,95,1379,0
0,96,4138,1
0,97,2069,0
0,98,6208,3
0,99,3104,3
0,100,1552,3
0,101,776,3
0,102,388,2
0,103,194,1
0,104,97,0
0,105,292,2
0,106,146,1
0,107,73,0
0,108,220,2
0,109,110,1
0,110,55,0
0,111,166,1
0,112,83,0
0,113,250,1
0,114,125,0
0,115,376,3
0,116,188,2
0,117,94,1
0,118,47,0
0,119,142,1
0,120,71,0
0,121,214,1
0,122,107,0
0,123,322,1
0,124,161,0
0,125,484,2
0,126,242,1
0,127,121,0
0,128,364,2
0,129,182,1
0,130,91,0
0,131,274,1
0,132,137,0
0,133,412,2
0,134,206,1
0,135,103,0
0,136,310,1
0,137,155,0
0,138,466,1
0,139,233,0
0,140,700,2
0,141,350,1
0,142,175,0
0,143,526,1
0,144,263,0
0,145,790,1
0,146,395,0
0,147,1186,1
0,148,593,0
0,149,1780,2
0,150,890,1
0,151,445,0
0,152,1336,3
0,153,668,2
0,154,334,1
0,155,167,0
0,156,502,1
0,157,251,0
0,158,754,1
0,159,377,0
0,160,1132,2
0,161,566,1
0,162,283,0
0,163,850,1
0,164,425,0
0,165,1276,2
0,166,638,1
0,167,319,0
0,168,958,1
0,169,479,0
0,170,1438,1
0,171,719,0
0,172,2158,1
0,173,1079,0
0,174,3238,1
0,175,1619,0
0,176,4858,1
0,177,2429,0
0,178,7288,3
0,179,3644,2
0,180,1822,1
0,181,911,0
0,182,2734,1
0,183,1367,0
0,184,4102,1
0,185,2051,0
0,186,6154,1
0,187,3077,0
0,188,9232,3
0,189,4616,3
0,190,2308,2
0,191,1154,1
0,192,577,0
0,193,1732,2
0,194,866,1
0,195,433,0
0,196,1300,2
0,197,650,1
0,198,325,0
0,199,976,3
0,200,488,3
0,201,244,2
0,202,122,1
0,203,61,0
0,204,184,3
0,205,92,2
0,206,46,1
0,207,23,0
0,208,70,1
0,209,35,0
0,210,106,1
0,211,53,0
0,212,160,3
0,213,80,3
0,214,40,3
0,215,20,2
0,216,10,1
0,217,5,0
0,218,16,3
0,219,8,3
0,220,4,2
