d,k,c,omega,stable_count,cyclic_count,chaotic_count,unknown_count,total_samples
2,2,1,CYCLIC,1,99,0,0,100
2,2,2,STABLE,100,0,0,0,100
2,2,3,CYCLIC,0,100,0,0,100
2,2,4,MIXED,0,0,0,100,100
2,2,5,CYCLIC,1,99,0,0,100
2,2,6,CYCLIC,67,33,0,0,100
2,2,7,CYCLIC,0,100,0,0,100
2,2,8,MIXED,0,0,0,100,100
2,2,9,CYCLIC,1,99,0,0,100
2,3,1,STABLE,100,0,0,0,100
2,3,2,MIXED,0,0,0,100,100
2,3,3,CYCLIC,1,99,0,0,100
2,3,4,MIXED,1,0,0,99,100
2,3,5,CYCLIC,16,84,0,0,100
2,3,6,MIXED,0,0,0,100,100
2,3,7,CYCLIC,70,30,0,0,100
2,3,8,MIXED,0,0,0,100,100
2,3,9,CYCLIC,0,100,0,0,100
2,4,1,CYCLIC,0,100,0,0,100
2,4,2,CYCLIC,0,100,0,0,100
2,4,3,CYCLIC,1,99,0,0,100
2,4,4,STABLE,100,0,0,0,100
2,4,5,CYCLIC,1,99,0,0,100
2,4,6,CYCLIC,1,99,0,0,100
2,4,7,CYCLIC,0,100,0,0,100
2,4,8,MIXED,0,0,0,100,100
2,4,9,CYCLIC,0,100,0,0,100
2,5,1,CYCLIC,7,26,0,67,100
2,5,2,MIXED,0,0,0,100,100
2,5,3,CYCLIC,3,30,0,67,100
2,5,4,MIXED,0,0,0,100,100
2,5,5,CYCLIC,1,33,0,66,100
2,5,6,MIXED,0,0,0,100,100
2,5,7,CYCLIC,27,25,0,48,100
2,5,8,MIXED,1,0,0,99,100
2,5,9,CYCLIC,17,53,0,30,100
2,6,1,CYCLIC,0,100,0,0,100
2,6,2,STABLE,100,0,0,0,100
2,6,3,CYCLIC,0,100,0,0,100
2,6,4,MIXED,2,0,0,98,100
2,6,5,CYCLIC,0,100,0,0,100
2,6,6,CYCLIC,1,99,0,0,100
2,6,7,CYCLIC,2,98,0,0,100
2,6,8,MIXED,0,0,0,100,100
2,6,9,CYCLIC,1,99,0,0,100
2,7,1,MIXED,3,0,0,97,100
2,7,2,MIXED,0,0,0,100,100
2,7,3,CYCLIC,2,1,0,97,100
2,7,4,MIXED,0,0,0,100,100
2,7,5,CYCLIC,1,12,0,87,100
2,7,6,MIXED,0,0,0,100,100
2,7,7,CYCLIC,2,7,0,91,100
2,7,8,MIXED,0,0,0,100,100
2,7,9,CYCLIC,3,1,0,96,100
